Date,Predicted_Price,Lower_Bound,Upper_Bound
2026-01-02,52.5244915906057,48.51895004295905,56.89951750354882
2026-01-05,52.69963654496987,48.183334876764,57.09063765368925
2026-01-06,52.719968453777064,48.5637706314117,57.13865524063385
2026-01-07,52.782684808887765,48.70139978809656,56.820209778604756
2026-01-08,52.687038637438214,48.73528763103627,56.70176409503515
2026-01-09,52.74709682826211,48.56427348638718,56.8065296042765
2026-01-12,52.58051488834755,48.22892891204476,56.77800217089335
2026-01-13,52.49009900124171,48.059631604756625,56.86411958574496
2026-01-14,52.44657659163617,48.08145603847036,57.06929900993813
2026-01-15,52.250886517047796,47.839237348380586,56.86910948881408
2026-01-16,52.218683672184504,47.58083621479262,56.68240000705556
2026-01-17,51.309222050829725,47.21271827955174,55.55715534992322
2026-01-18,51.18690549190643,47.277004631145864,55.51874162348468
2026-01-19,51.835741837730055,47.50117975339854,56.3138361070434
2026-01-20,51.69700513234965,47.275427549476674,55.79712519711277
2026-01-21,51.618351099796904,47.643851356024406,55.646841085508925
2026-01-22,51.401133512000484,47.25709687144618,55.744073114863305
2026-01-23,51.36116926744163,47.15445379631698,55.420124286228315
2026-01-24,50.45761910035437,46.335371090801,54.858524069634825
2026-01-25,50.354541624825984,46.12646062587978,54.24066612437406
2026-01-26,51.0353563407521,46.48492905082583,55.55990407171703
2026-01-27,50.940519993981475,46.721707333919205,54.944278245019326
2026-01-28,50.916661166806946,46.87714455702886,55.4065161963682
2026-01-29,50.7639202268175,46.62755121876415,54.998191385459
2026-01-30,50.796741868189855,46.605128195547756,54.75830388913462
2026-01-31,49.97278648842813,45.64886755175573,54.086252349087445
2026-02-01,49.95451735612523,45.380360153969384,54.40908993439063
2026-02-02,50.723698395316575,46.2450314698443,54.80167775849303
2026-02-03,50.71910614554983,46.585896669830184,55.16918375124904
2026-02-04,50.7856999298761,46.745308858625094,55.23150467869212
2026-02-05,50.721996525870615,46.382476206074486,54.757273266695776
2026-02-06,50.84089577234523,46.84340214388799,55.03437310084036
2026-02-07,50.098622605135894,45.833999482942595,54.41709309239038
2026-02-08,50.15634179774504,45.56172630099596,54.76912333084937
2026-02-09,50.9946796389471,46.44609364054357,55.261312405213374
2026-02-10,51.05145561295343,46.69956831187791,55.45039294470764
2026-02-11,51.17086773227042,47.09993199784102,55.24327435903031
2026-02-12,51.1508775551804,46.85394882544635,55.57608994885354
2026-02-13,51.30404118162033,47.40818440502754,55.68737238543958
2026-02-14,50.58645170730278,46.70096644500241,55.04690804787444
2026-02-15,50.65934952212325,46.31313807200523,54.82377335986758
2026-02-16,51.50363491370046,47.375810820246386,55.44393529199009
2026-02-17,51.557586381135266,47.2636817428898,55.475739122334566
2026-02-18,51.66602874804652,47.09011476442805,55.80472621440498
2026-02-19,51.627697632171596,47.56658622042111,56.17671974115876
2026-02-20,51.756047161501776,47.47660228760918,56.0251470970695
2026-02-21,51.0081670668963,46.671396360219774,55.30700008492018
2026-02-22,51.04636622301333,46.889837294267764,55.433364128668714
2026-02-23,51.852657801220545,47.6348318721767,56.37410023152307
2026-02-24,51.866450140495935,47.660111856125965,55.85862597888257
2026-02-25,51.933688105938245,47.5474423827402,56.64273414701808
2026-02-26,51.85419213501709,47.855410735261714,55.773566771654316
2026-02-27,51.94244245033727,47.37952532986256,56.062160699296115
2026-02-28,51.156475089484594,47.26644702735217,55.25936803408747
2026-03-01,51.15944726396442,46.8678648918813,55.3649514165494
2026-03-02,51.9341075610271,47.64187885509445,56.26544305482428
2026-03-03,51.92047534740857,47.36221792173267,56.09866625806211
2026-03-04,51.9649742965254,47.814195136840496,56.32842737422691
2026-03-05,51.867767288545366,47.79920488964113,56.1732248043263
2026-03-06,51.9435401107601,47.66969387364105,55.8809929972951
2026-03-07,51.150400460926754,46.808257703499976,55.568446358499685
2026-03-08,51.151449528332805,46.91974117999815,55.51460299770849
2026-03-09,51.92926134911358,47.67001725638299,55.96623617418402
2026-03-10,51.9235739088069,47.59739191230704,56.12301122025633
2026-03-11,51.98043647217062,47.717532758636025,56.21486499741366
2026-03-12,51.899559906798245,47.739378454028156,56.41299252865788
2026-03-13,51.995116918968236,47.45232944178113,56.676187059475694
2026-03-14,51.22465818474924,46.99518168830434,55.71088737440267
2026-03-15,51.2507011362625,47.18810630464687,55.67081597295482
2026-03-16,52.0552261044453,47.352239199316536,56.65470512177417
2026-03-17,52.07738332962136,47.55700211162689,56.24108680664465
2026-03-18,52.16265490445071,47.536521915876264,56.631237862420925
2026-03-19,52.11021805723919,47.818423074738824,56.3370425822998
2026-03-20,52.23375640141322,47.932827852556855,56.31270090624375
2026-03-21,51.490384914074774,47.24607773459389,55.772743564960635
2026-03-22,51.54224526027696,47.12604500220664,55.62864401594839
2026-03-23,52.37100609980114,47.91328654354226,56.50537364187671
2026-03-24,52.415571901368104,48.07863347698734,56.52217529883164
2026-03-25,52.521244417455705,48.36883531668152,56.97706858935225
2026-03-26,52.4870833864433,48.3026726748428,56.72117084692149
2026-03-27,52.62671330901568,48.164806275246136,57.14689311299337
2026-03-28,51.89724233660497,47.22547274828522,56.15135352145549
2026-03-29,51.960850206254094,47.657024454029795,56.62982675198475
2026-03-30,52.799280207867874,48.397745368601875,56.97494459644396
2026-03-31,52.85153907677776,48.472798429627595,57.20933053885115
